Alexa Poziomkowa
Siri Jagodowa
Alfrida Lakowa
Beatrix Makowa
Bianka Warszawska
Carlott Krakowska
Elfrida Nowa
Elise Skosna
Gabrielle Prosta
Gretchen Lesna
Hanna Zielona
Ilsa Budyniowa
Klara Kolorowa
Jarla Kisielowa
Ludmilla Jagodowa
Mathilde Jablkowa
Regina Truskawkowa
Solveig Okragla
Theodora Kopciuszka
Ulrike Krasnoludzka
Wertha Szewcza
Adelbert Rybacka
Albrecht Tramwajowa
Berthold Tulipanowa
Dieter Rozana
Eckhardt Kwiatowa
Felix Krzewowa
Gottfried Drzewna
Gustav Powstancza
Heinz Imperialna
Johann Krolewska
Konrad Ksiazeca
Leopold Sklepowa
Magnus Jerozolimska
Otto Truflowa
Pieter Grzybowa
Rudiger Politechniczna
Siegfried Grecka
Ulrich Rzymska
Waldemar Wloska
Wolfgang Polska
